audio,phonemes,ipa
/home/isaac/Projects/Thesis/data/timit/data/TRAIN/DR8/FCLT0/SX178.WAV,h# sh iy ih ng kcl k er ix jh dcl d hh axr tcl ch ih l dcl ax n tcl t ax-h m ey kcl dh axr ow n hv ae l ax w ix ng kcl k aa s tcl t ux m z h#, ʃ i ɪ ŋ k̚ k ɝ ɨ dʒ d̚ d h ɚ t̚ tʃ ɪ l d̚ ə n t̚ t ə̥ m eɪ k̚ ð ɚ oʊ n ɦ æ l ə w ɨ ŋ k̚ k ɑ s t̚ t ʉ m z 
/home/isaac/Projects/Thesis/data/timit/data/TRAIN/DR8/FCLT0/SX88.WAV,h# f l ay ix ng s tcl t ae m bcl b ay kcl k ae n bcl b iy pcl p r ae kcl t ix kcl k ax l ax f y ux w ah nx ax s ey v epi m ah nx ix h#, f l aɪ ɨ ŋ s t̚ t æ m b̚ b aɪ k̚ k æ n b̚ b i p̚ p ɹ æ k̚ t ɨ k̚ k ə l ə f j ʉ w ʌ ɾ̃ ə s eɪ v  m ʌ ɾ̃ ɨ 
/home/isaac/Projects/Thesis/data/timit/data/TRAIN/DR8/FCLT0/SI1438.WAV,h# dh iy z ao l w ih z kcl k ix n tcl t ey n m ix tcl t ae l ix kcl k ix ng kcl k l ow zh ix n z h#, ð i z ɔ l w ɪ z k̚ k ɨ n t̚ t eɪ n m ɨ t̚ t æ l ɨ k̚ k ɨ ŋ k̚ k l oʊ ʒ ɨ n z 
/home/isaac/Projects/Thesis/data/timit/data/TRAIN/DR8/FCLT0/SX268.WAV,h# dh ix dcl jh ao q aa pcl p axr ey tcl t s bcl b ay y ux z ix ng ae n tcl t ae gcl ix n ih s tcl t ih kcl m ah s el s h#, ð ɨ d̚ dʒ ɔ ʔ ɑ p̚ p ɚ eɪ t̚ t s b̚ b aɪ j ʉ z ɨ ŋ æ n t̚ t æ ɡ̚ ɨ n ɪ s t̚ t ɪ k̚ m ʌ s l̩ s 
/home/isaac/Projects/Thesis/data/timit/data/TRAIN/DR8/FCLT0/SX448.WAV,h# s f ih r er kcl k el gcl g ih f s axr dcl d ih f ax kcl k ah l tcl t axr r ae pcl p h#, s f ɪ ɹ ɝ k̚ k l̩ ɡ̚ ɡ ɪ f s ɚ d̚ d ɪ f ə k̚ k ʌ l t̚ t ɚ ɹ æ p̚ p 
/home/isaac/Projects/Thesis/data/timit/data/TRAIN/DR8/FCLT0/SI808.WAV,h# ax s ay tcl m ey aa l s uh bcl b iy ix tcl t r ae kcl t ix v dcl jh uh s th r ux dh ix bcl b y ux dx iy ix v ix tcl s tcl t r iy z en sh r ah bcl b s h#, ə s aɪ t̚ m eɪ ɑ l s ʊ b̚ b i ɨ t̚ t ɹ æ k̚ t ɨ v d̚ dʒ ʊ s θ ɹ ʉ ð ɨ b̚ b j ʉ ɾ i ɨ v ɨ t̚ s t̚ t ɹ i z n̩ ʃ ɹ ʌ b̚ b s 
/home/isaac/Projects/Thesis/data/timit/data/TRAIN/DR8/FCLT0/SX358.WAV,h# jh ao r dcl jh s eh l dcl d ax m w aa tcl ch ix z dcl d ey tcl t ay m ux v ix s h#, dʒ ɔ ɹ d̚ dʒ s ɛ l d̚ d ə m w ɑ t̚ tʃ ɨ z d̚ d eɪ t̚ t aɪ m ʉ v ɨ s 
/home/isaac/Projects/Thesis/data/timit/data/TRAIN/DR8/FCLT0/SI2068.WAV,h# w iy dcl d ow n ow dh ih s gcl g ay h#, w i d̚ d oʊ n oʊ ð ɪ s ɡ̚ ɡ aɪ 
/home/isaac/Projects/Thesis/data/timit/data/TRAIN/DR8/MCXM0/SX271.WAV,h# b iy kcl k eh er f ax n aa tcl t ax-h pcl p l aw q ow v axr dh ax f l aw er bcl b eh dcl d z h#, b i k̚ k ɛ ɝ f ə n ɑ t̚ t ə̥ p̚ p l aʊ ʔ oʊ v ɚ ð ə f l aʊ ɝ b̚ b ɛ d̚ d z 
/home/isaac/Projects/Thesis/data/timit/data/TRAIN/DR8/MCXM0/SX451.WAV,h# dh ax th ih kcl q eh l m f ao axr s epi w ax z epi n ih axr l iy q ow v axr w eh l m dcl b ay dcl d ah tcl ch q eh l m dcl d ix z iy z h#, ð ə θ ɪ k̚ ʔ ɛ l m f ɔ ɚ s  w ə z  n ɪ ɚ l i ʔ oʊ v ɚ w ɛ l m d̚ b aɪ d̚ d ʌ t̚ tʃ ʔ ɛ l m d̚ d ɨ z i z 
