audio,phonemes,ipa
arctic_l2/TNI/wav/arctic_b0171.wav,text = "sil" text = "HH" text = "IY1" text = "CH" text = "EY1" text = "N" text = "JH" text = "D" text = "HH" text = "IH0" text = "Z" text = "S" text = "IY1" text = "T" text = "F" text = "AO1" err text = "AH0" text = "S" text = "T" text = "IY1" text = "M" text = "ER0" text = "sil" err text = "IH0" text = "K" text = "L" text = "AY1" text = "N" text = "IH0" text = "NG" text = "CH" text = "EH1" err text = "sil",% % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % %
arctic_l2/HQTV/wav/arctic_b0140.wav,text = "sil" D text = "EY1" text = "EH1" sil text = "D" text = "N" text = "IH1" text = "R" text = "ER0" text = "AE1" Z sil text = "S" text = "T" UW sil text = "SH" AW sil text = "D" AH text = "sp" text = "T" text = "UW1" text = "SH" AW sil text = "D" AH text = "F" text = "EY1" text = "S" text = "IH0" text = "NG" D AH sil text = "W" text = "ER1" sil sil text = "sp",% d % % ? % % % % % % z ? % % u ? % aʊ ? % ʌ % % % % aʊ ? % ʌ % % % % % d ʌ ? % % ? ? %
arctic_l2/TNI/wav/arctic_b0136.wav,text = "sil" text = "S" text = "W" text = "IH1" text = "F" text = "T" text = "L" text = "IY0" text = "HH" text = "IH1" text = "Z" text = "AY1" sil text = "M" text = "EH1" text = "ZH" AH0 text = "D" D text = "AH0" text = "S" text = "IH2" text = "CH" text = "UW0" text = "EY1" text = "SH" text = "AH0" text = "N",% % % % % % % % % % % % ? % % % ʌ % d % % % % % % % % %
arctic_l2/LXC/wav/arctic_b0400.wav,text = "HH"  AA text = "K" text = "UH1" text = "D" text = "AY1" text = "AE1" text = "N" text = "S"  AX  sil  sil text = "K" text = "W" text = "EH1"  SH text = "CH" text = "AH0" text = "N" OW text = "N" text = "DH" text = "AH0" text = "S"  B text = "ER1" text = "AH1" text = "V"  err text = "AH0" text = "M"  AO text = "M" text = "AH0" text = "N"  sil text = "sp",% % % % % % % % % % % % % % % % % % % oʊ % % % % % % % % % % % % % % % % %
arctic_l2/SKA/wav/arctic_a0117.wav,text = "sil" text = "SH" text = "IY1" text = "sp" text = "AE1" text = "D" text = "AH0" text = "D" text = "sp" text = "W" text = "IH1" Z ZH text = "EH1" text = "N" text = "Y" text = "AH0" text = "W" text = "AH0" text = "N" text = "S" EH1 text = "M" text = "P" text = "AH0" text = "TH" text = "IY0" text = "IH1" text = "N" text = "HH" text = "ER0" text = "F" text = "EY1" text = "S" text = "AE1" text = "N" text = "D" text = "V" text = "OY1" text = "S" text = "sp",% % % % % % % % % % % z ʒ % % % % % % % % ɛ % % % % % % % % % % % % % % % % % % %
arctic_l2/PNV/wav/arctic_a0139.wav,text = "HH" text = "IY1" text = "T" text = "OW1" N text = "D" text = "HH" text = "IH0" text = "M" text = "S" text = "EH1" sil V text = "DH" text = "AE1" text = "T" text = "sp" text = "AE1" text = "Z" text = "HH" text = "IY1" text = "W" text = "AA1" text = "SH" sil text = "HH" text = "IH0" text = "M" text = "S" text = "EH1" AH V EH text = "N" sil K text = "R" UH text = "M" text = "D" text = "HH" text = "IH1" text = "Z" text = "sp" text = "D" text = "IH0" text = "SH" text = "EH1" text = "V" text = "AH0" sil text = "D" text = "sp" text = "K" text = "L" text = "OW1" text = "Z" text = "sp",% % % % n % % % % % % ? v % % % % % % % % % % % ? % % % % % ʌ v ɛ % ? k % ʊ % % % % % % % % % % % % ? % % % % % % %
arctic_l2/HKK/wav/arctic_a0096.wav,text = "P" text = "ER0" text = "HH" text = "AE1" text = "P" text = "S" text = "sil" text = "SH" text = "IY1" text = "HH" text = "AE1" text = "D" text = "AO0" text = "R" text = "EH1" text = "D" text = "IY0" text = "M" text = "EH1" text = "T" text = "HH" text = "ER1" text = "F" text = "EY1" text = "T" text = "AH0" text = "L" IY1 text = "T" text = "AH0" text = "L" text = "D" text = "IY1" text = "P" text = "ER0" text = "IH0" text = "N" text = "DH" text = "AH0" text = "F" ER1 text = "R" text = "AH0" text = "S" text = "T",% % % % % % % % % % % % % % % % % % % % % % % % % % % i % % % % % % % % % % % % ɝ % % % %
arctic_l2/ABA/wav/arctic_a0108.wav,text = "HH" text = "IY1" text = "W" text = "EY1" text = "D" text = "IH0" text = "D" text = "IH1" text = "N" text = "T" text = "UW0" text = "DH" text = "AH0" text = "EH1" text = "JH" text = "sp" text = "AH1" text = "V" text = "DH" text = "AH0" text = "W" OW text = "T" text = "ER0" text = "sp" text = "AH0" text = "N" text = "D" text = "B" text = "IH0" text = "G" text = "AE1" text = "N" text = "sp" text = "S" K* text = "R" text = "AH1" text = "B" text = "IH0" text = "NG" K text = "HH" text = "IH0" text = "M" text = "S" text = "EH1" text = "L" text = "F",% % % % % % % % % % % % % % % % % % % % % oʊ % % % % % % % % % % % % % % % % % % % k % % % % % % %
arctic_l2/SVBI/wav/arctic_a0037.wav,text = "sil" text = "AY1" text = "W" text = "AH0" text = "Z" text = "DH" text = "AH1" text = "OW1" text = "N" text = "L" text = "IY0" text = "W" text = "AH1" text = "N" text = "HH" text = "UW1" R* text = "IY0" text = "M" text = "EY1" N* text = "D" text = "S" text = "IH1" T* text = "IH0" text = "NG" text = "sp",% % % % % % % % % % % % % % % % % % % % % % % % % % % %
arctic_l2/BWC/wav/arctic_a0024.wav,text = "IH1"  sil text = "W" text = "AO1"  S text = "M" text = "AY1" text = "R" text = "IY0" text = "P" text = "AO1" text = "R" text = "T" text = "S" text = "F" text = "R" text = "AH1" text = "M" text = "DH" text = "AH0" text = "N" text = "AO1"  AH text = "TH" text = "W" text = "IH1" text = "CH" text = "sp" text = "CH" text = "IY1" text = "F" text = "L" text = "IY0" text = "sp" text = "IH0" text = "N" text = "D"  Y text = "UW1" text = "S" text = "T" text = "sp" text = "P" text = "IY1" text = "P" text = "AH0" text = "L" text = "T" text = "UW1" text = "B" text = "AY1" text = "sp",% % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % %
